sha256,pkgName,categoryID,description
26602F49FB24212BE3A86D956E74DAA8FD04175D0681F019A885F9106A6D8C5C,com.microsoft.amp.apps.bingweather,WEATHER,"Best way to plan your day   Get the latest weather conditions, whether you're hitting the slopes, the beach or simply checking the forecast for your commute. See accurate hourly, 5-day, and 10-day forecasts for wherever you're going or whatever you’re doing.  DETAILED CONDITIONS Quickly access the day drill down, hourly, daily, and 10-day forecasts, and historical weather averages. Check wind, visibility, humidity, barometer, dew point, and chance of precipitation. See sunrise, sunset, moon phase, and UV index.  INTERACTIVE MAPS Go deep in detail with temperature, radar observation, radar forecast, precipitation, cloud and satellite maps.  MULTIPLE CITIES Track current weather in all the locations you care about most. Add multiple cities to your favorites for quick access. Sign in to save your preferences.  SEVERE WEATHER ALERTS Stay informed with timely notifications to help you prepare for severe weather.  AVAILABLE ANYWHERE Automatically sync your favorite cities across MSN Weather on the web and your mobile apps for quick access to the places you care about.  Some features may not be available in all markets.  Terms of Use: http://windows.microsoft.com/en-us/windows/microsoft-services-agreement"
3098BB50A8837400B30164B218399F4CCC0C7C5FB4F23787F4643065ABB4EBAC,life.channel.accurate.local.weather.forecast,WEATHER,"Local weather forecast, your personal weather assistant. With Local Weather Forecast, you can travel with confidence. It provides weather info and weather data browsing, accurate weather forecast information in 24 hours, accurate forecast for many days in the future.   <b>################ Main Features ###############</b>  <b># Real-time Local Weather Forecast</b> Hourly Temperature, wind speed and direction, atmospheric pressure, weather condition, humidity, UV Index, visibility distance unites, dew point, elevation and cloud cover condition. Also it contains Radar Map that offering you to check the local weather condition information easily. Thoughtful data like Air Quality, Out Door Sports Index sunrise time, sunset time are also offered for you.  <b># Local real-time weather and natural disaster Alert</b> Early warning affected area, start time, end time, Alert summary, original warning and data source. Prompt protection in advance  <b># Weather forecast for the next 24 hours</b> Hourly temperature, Feels like, weather phase, humidity, UV index, visibility, dew point, rain snow ice probability, wind direction speed gust, Cloud Cover. 24-hour Weather Forecast ,View anytime, anywhere . Hourly weather, know as soon as you slip.  <b># Weather forecast for the next 10 days</b>  Provide daily temperature, weather phase, humidity, UV index, rain snow icing probability, lightning probability, wind direction/speed/gust, sunrise sunset time. Plan food, clothing, housing and transportation in advance . Forecast long-term weather, happy plan, happy play.  <b># Rain probability in the next 10 days</b>   The bar graph displays the trend of rain probability. Watch the dynamic map of rainfall radar  <b># Wind direction information for the next 10 days</b>   The line graph shows the level of the direction and the direction change trend.   <b># Air Quality Index</b>   PM10, PM2.5, CO, NO2, SO2, O3, quality level.   <b># Other weather information</b>   Dew point, Visibility, UV Index.   <b># Weather radar chart</b>   Various cloud images can be displayed, making it easy to browse weather forecast information.   <b># Sunrise and sunset</b>   Beautiful sunrise and sunset animation effects and moon phase information.   <b># City Management</b>  The weather in the city you care about is clear at a glance. You can manually add and remove cities, adjust the order of cities, set the city and weather forecast for notifications and widgets.  <b># Weather information unit and format setting</b>   Temperature: C, F   Precipitation: mm, in, cm   Visibility: mile, m, km   Wind speed: mp/h, km/h, mi/h, m/s   Pressure: bar, hPa, atm, mmHg   Hour format: 12 hour, 24 hour   Date format: yyyy/mm/dd(2021/01/29), mm/dd/yyyy(29/01/2021), dd/mm/yyyy(01/29/2021)  <b># Support multiple languages</b>  Download and experience the accurate local weather forecast.   Enjoy your daily life and stay safe!    If you have any questions or suggestions, feel free to contact us. We will do our best to provide a better experience for you.  Email: linlifemx2020@gmail.com"
EA2CCEBFC2212317EA6E57ADAF05EC9932663A281CFE50E230F3A2ABD1225576,ru.yandex.weatherplugin,WEATHER,"The app shows what the weather will be like in the next 10 days, and gives hourly forecasts for your chosen location.  — View local weather forecasts and temperature for your current location and check out the weather in your favorite locations. — See what weather conditions to expect on a daily basis and view the forecast for the rest of the week. — Use gestures get more local weather information: swipe up on the main screen to see a daily forecast, swipe right to see hourly air temperature changes, and swipe left to see wind speed, humidity, and air pressure conditions. — The app offers home screen and notification panel widgets to help you quickly find what you need in Yandex or check the temperature outside. You can change the look and content of the widgets in the app settings. — Share your weather information with Yandex to help us provide you with the most accurate weather forecast.  You will be asked to grant several app permissions on your device before installing Yandex Weather. Here is what they are for: <b>Identity</b> Sync your list of favorite locations on Yandex Weather to other devices by granting this permission. <b>Location</b> Automatically get the forecast for your location by granting this permission. <b>Wi-Fi connection information</b> You can get the approximate forecast from Yandex Weather according to your Wi-Fi connection when GPS is unavailable by granting this permission. <b>Device ID & call information</b> You can get the approximate forecast for your location based off the nearest cellphone tower when GPS is unavailable by granting this permission. Yandex Weather does not collect information about your phone calls."
AFE066005BDF8FBBFD2F11ECBDBAF16B8957258FE364EB2D4861A90E26C5DC93,com.meteoblue.droid,WEATHER,"meteoblue shows high precision weather forecasts combined with a beautiful, simple and easy to use design. Weather forecasts can be requested for any place on Earth easily and comfortably.  • Weather forecasts for any point on land or sea. • Location search with more than 6 million locations: search for location name, postal code or coordinates or let the app find your current position with the GPS module. • 3 different widgets that can be added right to your home screen. • 7 days forecast: daily overview and detailed information for every single day with hourly or 3 hour values. Besides standard parameters like temperature, precipitation and wind information, unique features like predictability and rainSPOT give a better overview. • Meteogram 5 days: temperature curve with pictograms, cloud layers in different altitudes and wind forecast. • 14 days: trend forecast for minimum and maximum temperature as well as precipitation and precipitation probability. • Satellite map: observed cloud cover for North America, Central America, Europe, Africa and India, with lightning updates for selected areas. • Radar map: precipitation radar for Germany, Switzerland, Romania, USA and South America. Others will be added. • where2go: find the sunniest weather around your selected place. • Personalized settings: you can choose between various temperature and wind speed units. • Offline mode: the app will save the weather data for each place until you are online again."
391BA992DE85B56D3298971491AF8A916EDACCA14EEC33344CF728EFEFBA936F,tools.weather.forecast,WEATHER,"<b>This best Local Weather Forecast provides the most accurate forecast & future weather info, beautiful weather widgets. </b>  Why Local Weather Forecast is chosen? ☀ Simple to get information at a glance ☀ Various weather widget ☀ Rain cloud radar ☀ Notify of approaching typhoon and rain clouds ☀ Get all weather details for free  <b> Hourly & Daily Weather Forecast </b> You can see the of weather forecast for each city in the world up to 10 days ahead. Detailed weather information for each hour, check temperature, precipitation, air pressure, wind speed, humidity......  <b> Live Rain Cloud Radar </b> You can see the state of rain clouds, amount of rain and wind direction.  <b> Create Your Weather Map </b> You can see the weather forecast for the set area up to 10 cities.  <b> Daily Life Weather Information </b> Customize daily life information such as air quality(including PM2.5), jacket, umbrella, flight delay, etc, to your liking.  <b>Sun & Moon</b>: Track Sunrise and Sunset Time <b>Current Weather Conditions</b>: Detailed real-time weather report, including real-time weather status & temperature, ""feels like"" temperature, air quality, rainfall rate, humidity, dew point, sunrise, sunset, wind speed, UV index, visibility, and barometric pressure <b>Status Bar Info</b>: Status bar on the home screen displaying the current temperature for your current location  With the Local Weather Forecast app, you can check the weather forecast for 10 days, which is longer than the familiar weekly weather forecast on TV. Download the weather forecast now! By learning weather information, you can prepare your plan carefully, then you will be successful at work and have a better life!"
C7BA5E8EDF13C504E60A6E4A9CF10FB4A448D805D6AA17A8C87067BD0822CF21,com.bvl.weatherapp,WEATHER,"Weather is a beautiful and clean app, designed to be as simple to use as possible. With just one click you can check the weather for today,  tomorrow and the forecast for the next 14 days.  The current weather for today and the forecast for tomorrow are gorgeously animated. See realistic rain, snow or thunderstorm, sun rays for clear days, the moon’s glow and the stars at night, moving clouds and more weather animations. They all reflect the weather making it come alive.  The background color changes to reflect and almost make you feel the weather. From light blue for clear days to darker grays for cloudy days you’ll know how’s the weather like with just one glance.  <b>WEATHER FEATURES</b>  ● Current weather conditions and temperatures for today. Beautiful hourly graph for the next hours today and tonight. ● Easily check the weather forecast for tomorrow, including hourly. ● Extended 14 day forecast. ● Swipe down to view detailed weather conditions: humidity, dew point, UV index, visibility, chance of rain, animated wind, pressure and sunrise/sunset. ● Animated weather conditions for today and tomorrow. ● Automatically detects your location and retrieves the latest weather conditions for your current location. ● Add and track weather conditions for all your favorite cities and destinations ● Available in over 40 languages."
8D499B4E7BE8CEDBB4A4447E5660B3936F15AD6821BD7603901089D62AE650D6,com.devexpert.weather,WEATHER,"Stay updated with the latest weather observations and the most accurate future weather forecast.  Personalize your phone/tablet with the most elegant and customizable widgets, showing current weather, hourly/daily forecast, moon phase, time and date, your calendar events, next alarm, battery level.  Make decisions for your day with the most accurate hourly, 5-day, and 10-day forecasts displayed with elegant tools including graph charts.   Features: - Automatic location detection  - Locate by network and GPS (Global Positioning System). - Manually search for location by name or zip code. - Weather notification alerts. - Multiple weather providers. - Current weather condition. - Hourly weather forecast. - 10-day weather forecast. - Temperature. - Celsius and Fahrenheit temperature unit. - Relative humidity percentage. - Atmospheric pressure. - Visibility distance. - Precipitation. - UV-Index.  - Dew point. - Wind speed and direction with different units. - Sunrise and Sunset times. - Display temperature in status bar (Notification bar). - Share weather and location information with friends. - Elegant home screen widgets.  - Next alarm and current battery level display. - Customize font for clock and date. - Moon phase. - Update on WiFi only and stop  while roaming. - Automatic update intervals: 15, 30 min, 1, 3, 6, 9, 12 hours or Manual update. - Follow weather and forecast for multiple locations. - Themes. - Chart graphs."
445B0A8EC8C33C9ACC1DD64C7FB2970DB2FA3A8E7EB93347690568A4E7CF69CF,com.windyty.android,WEATHER,"Windy.com is an extraordinary tool for weather forecast visualization. It’s fast, intuitive, detailed and most accurate weather app trusted by professional pilots, paragliders, skydivers, kiters, surfers, boaters, fishermen, storm chasers and weather geeks, and even by governments, army staffs and rescue teams.  Whether you are tracking a tropical storm or potential severe weather, planning a trip, pursuing your favourite outdoor sport, or you just need to know if it will rain this weekend, Windy provides you with the most up-to-date weather forecast around.  The uniqueness of Windy lies in the fact that it brings you better quality information than the other weather apps’ pro-features, while our product is absolutely free and even without ads.  Powerful, smooth and fluid presentation makes weather forecasting a real pleasure!  <h2><b>All forecast models at once</b></h2> Windy brings you all the world’s leading weather forecasting models: global ECMWF, GFS and ICON plus local NEMS, AROME, ICON EU and ICON-D2 (for Europe). Furthermore NAM and HRRR (for the USA) and ACCESS (for Australia).  <h2><b>51 weather maps</b></h2> From wind, rain, temperature and pressure to swell or CAPE index, with Windy you will have all convenient weather maps just at your fingertips.   <h2><b>Satellite & Doppler radar</b></h2> Global satellite composite is created from NOAA, EUMETSAT, and Himawari. The image frequency is 5-15 minutes based on area. Doppler radar covers large parts of Europe, America, Asia, and Australia.  <h2><b>Point of interests</b></h2> Windy lets you display observed wind and temperature, forecasted weather, airports around the World, collection of 55 000 weather webcams and 1500+ paragliding spots right on the map.  <h2><b>Fully customizable</b></h2> Add your favourite weather maps to quick menu, customize colour palette on any layer, access advanced options in the settings. All that makes Windy the weather geek’s tool of choice.  <h2><b>Features and data sources</b></h2> ✅ All leading weather forecast models: ECMWF, GFS by NOAA, ICON and more ✅ Several local weather models NEMS, ICON EU and ICON-D2, AROME, NAM, HRRR, ACCESS ✅ High-Res satellite composite ✅ Forecast model comparison ✅ 51 global weather maps ✅ Weather radar for many world locations ✅ 16 altitude levels from the surface to 13.5km/FL450 ✅ Metric or imperial units ✅ Detailed weather forecast for any location (temperature, rain and snow accumulation, wind speed, wind gusts and wind direction) ✅ Detailed Airgram and Meteogram ✅ Meteogram: temperature and dew point, wind speed and wind gusts, pressure, precipitation, altitude cloud cover ✅ Altitude and Time zone info, Sunrise and Sunset time for any location  ✅ Customizable list of Favorite spots (with the option to create mobile or e-mail alerts for upcoming weather conditions) ✅ Nearby weather stations (Real-time observed weather - Reported wind direction, wind speed and temperature) ✅ 50k+ Airports searchable by ICAO and IATA, including runway info, decoded & raw METARs, TAF and NOTAMs ✅ 1500+ Paragliding spots ✅ Detailed wind and wave forecast for any kiting or surfing spot ✅ 55K Weather webcams ✅ Tide forecast  ✅ Topographic maps by Mapy.cz and Satellite imagery by Here Maps ✅ English + 40 other world languages ✅ Now with Wear OS application ...and many more   <h2><b>Get in touch</b></h2> 💬 Join us at <a>community.windy.com</a> to discuss weather related topics or suggest new features.  Follow us on social media • Facebook: <a>facebook.com/windyforecast</a> • Twitter: <a>twitter.com/windycom</a> • YouTube: <a>youtube.com</a> • Instagram: <a>instagram.com/windy_forecast</a>"
D5048BC3597E62652EFB38C565791F44099213BBF3504D8B54EE01717D9B9A37,com.handmark.expressweather,WEATHER,"Free Weather App Trusted by 100 Million+ Users around the world. Rated as the Best Weather App during Hurricane season 2021.  Daily Weather Forecast, Hurricane alerts, 14 days extended weather reports, min-max temperature in Celsius & more.  <b>Key Features</b> ✓ Detailed Weather forecast for all Mexico Cities ✓ Day-to-day Weather highlights ✓ Minute-by-minute and Hourly weather updates ✓ 24hr Weather prediction to plan for the day ✓ Chance of Precipitation and timely alerts ✓ Radar info with UV index, severe weather and climate ✓ Sun and Moon tracker with daylight and temperature indication ✓ Customizable Notification widgets ✓ Trending Weather Updates: Hurricane, Snowfall, Rain and more ✓ Easy Navigation between all Categories ✓ Personalized Daily Weather summary notification  <b>Why 1Weather?</b>  <b>Daily Forecast</b> What’s the weather today in Mexico? Find the Weather in Mexico for all top cities including weather CDMX, Tijuana, San Cristóbal Ecatepec, León, and Puebla de Zaragoza. Stay up to date on severe weather conditions in tourist locations like Cancún, Guadalajara, Cabo San Lucas and Monterrey before making travel plans on holiday season. Plan your trip to Isla Mujeres, Oaxaca, Cozumel, Islas Revillagigedo and Punta Nizuc beach towns with extended temperature forecast.  <b>Extreme Weather</b> Get Extreme weather information for all seasons, El Niño and climate change at your fingertip. Detailed Forecast on Precipitation, Humidity, UV index, Visibility, Dew point, air pressure & more. Track the positions of Sun and Moon, length of the day, daylight calculation with this precise weather App. Temperature and Satellite Radar Maps to keep you updated on all upcoming weather conditions.  <b>Real-time Alerts</b> Will it be cold at the night? Check which parts of Mexico will have snow, wind, rain, thunderstorm, cold or warm temperatures. Is it going to rain today? Live Weather Updates on sunny days, rainy days to keep you informed with the real-time weather. Weather Warnings to alert you on climate change wherever you are.  👉100 million Downloads and Counting! Download the 1Weather app now.  Please feel free to reach us at oneweather_latam@onelouder.com."
90AA0ECA07AFCAD8A840775B81C5A437DC797D8D5C77FA38B06AEA5493D998D2,com.accuweather.android,WEATHER,"<h1><b>AccuWeather’s trusted free weather forecast app is at your fingertips</b></h1>  Internationally recognized by the World Meteorological Organization with awards for “Best User Interface and Data Representation”, “Best Weather Warnings”, and “Best Design and Presentation of Information, User-Friendliness; Access and Customization” making AccuWeather one of the best weather apps!   <b>Weather Forecasts You Can Depend On</b> •  <b>Live weather forecasts</b> including MinuteCast® forecasts for Minute by Minute® precipitation updates •  <b>Local weather</b> including severe weather alerts, temperature, precipitation, and allergy outlooks for your day  •  <b>WinterCast™: winter weather forecasts</b> giving you advanced warnings of snowfall probabilities and accumulation •  <b>Daily forecasts</b> include rain probability, cloud coverage, wind, live radar, air quality index, snowfall, and even UV index •  <b>Advanced weather radar</b> gives you up to the minute views of storm tracking, snow, rain, ice, temperature changes, and much more •  <b>RealFeel® & RealFeel Shade Temperature™ technology</b> helping you get a better sense of how the weather actually feels  <h2><b>Live weather with Weather Alerts</b></h2> The AccuWeather forecasting and severe weather alerts you know and trust. From local weather updates to WinterCast snow alerts, get the weather forecast you can rely on. With in-depth weather news, forecast updates, free weather alerts, plus today’s forecast and much more. Find out what makes AccuWeather the best as a trusted, free weather app. It’s the weather tracker you need!  <h2><b>Advanced Weather Radar</b></h2> Setting the standard for free weather radar: •  The accurate weather radar you know from AccuWeather •  Weather watches and warnings for your local area •  RealVue™ and Enhanced RealVue™ satellite imagery looking at weather patterns from space •  Weather radar views for water vapor, rainfall, sustained winds, and even storm surges •  Timely tropical storm radar tracking to see where and when storms might hit •  Current conditions maps shows temperature and RealFeel in and around your area •  5-day precipitation outlook to see what rain, snow, and ice could be in your area •  24-hour snowfall forecast shows detailed maps with snow accumulation and winter weather •  Temperature contour maps show how the temperature will change over the next day  <h2><b>For over 10 years, the AccuWeather app has brought you the weather</b></h2> Whether you're on the East Coast, Pacific Northwest, Southern Coast, or West Coast this free weather app can show you snow, wind, cold, rain and more! Stay prepared with our local weather and live forecasts. From extreme humidity, severe storms, allergy info, air quality index, snow storms, and ice alerts, get live updates that matter to you. Local weather forecasts are the AccuWeather specialty.   <b>Our weather tracker & live radar gives you Superior Accuracy™</b> Severe weather warnings, today’s temperature, free weather radar maps & more!  •  Get local forecasts and personalize the app depending on where you are in the world •  Go beyond today’s weather and look 45 days ahead to ensure that you’re prepared for any weather •  Try the MinuteCast feature for the most up to date live Minute by Minute weather forecast •  Weather alerts, storm alerts, and more! Get trending videos from AccuWeather’s dedicated news team •  Weather forecasting your way - a weather tracker that can filter and customize according to your preferences  Download the AccuWeather app today for free and enjoy award-winning Superior Accuracy in weather forecasting on your Android mobile, tablet, TV, and WearOS. More than just a daily forecast, try the best weather app and get more from your forecast."
