sha256,pkgName,classID,googlePlayCategoryID,googlePlayDescription
9B30837BD2474AC3623A43D052F7ADC4C63E4AA9981F0F9DAA658F825EBDB224,my.android.calc,Calculator,TOOLS,"Handiness universal percentage calculator for simple and engineering calculations. Ad Free!  Mobi Calculator is a free calculator for android for everyone who appreciate great usability and functionality.  Working with the calculator brings pleasure, since the easy to use interface is thought through to trifles. This is a simple calculator that will suit both school childrens, students and in work, and for everyday household calculations.  - no ads! - time calculator - correct percentage calculator - realtime result - this is calculator with full featured history of calculations, comments and sharing of calculations - classical memory feature (M+, M-, MR) - multiple string expressions - big buttons and beautiful themes - multilanguage - customizable buttons on main screen - spends very small memory space - high accuracy, up to 30 digits - HEX/BIN/OCT mode, up to 64 bits in PRO-version - does not require unnecessary permissions like Internet connection, geo-position, contacts and SMS  It's not ""All in one"" tool. We appending only really essential features that usable during work and everyday household calculations.  Other features: - calculation modes: operation priorities, rounding, etc. - modern Material and battery safe dark themes - trigonometrical functions, sine, cosine, etc. - radians, degrees calculations with DMS displaying mode (degree-minute-second) - logarithmic and other functions - basic features, square/cube/n-th root, power, percentages  In the PRO-version only: * Ability to store records of the history (up to 1000, FREE - 50) * Ability to edit expression with up to 7 lines on the screen (FREE - 5) * Additional themes (Business, Ice Cream Sandwich) The list will be increased!  http://facebook.com/mobicalc http://twitter.com/mobicalc  Thanks to our translators: Chinese (Simplified) (免费计算器) - Nexus Sun Chinese (Traditional) - Whale Majida French - NEVEU Sylvai German - Breaz Marius Hellenic - Kaparos Spiros Hungarian - István Kriskó Italian - Claudio Percky Korean - Jo Joon Hee (Gomdolius, [gomdolight.com](http://gomdolight.com/)) Polish - acosh(i) Russian (русский калькулятор) - olgapol Slovak (partial) - Loránt Gerencsér ([droid.sk](http://droid.sk/)) Turkish - Burak Çelik (Synertic) Ukrainian - Vlad Borovik ([heitezy@gmail.com](mailto:heitezy@gmail.com))"
686DE8D8A0D08992CB135BC7A0500D0109D9697A1140B8EDADF19B3B3BD2220C,com.vpn.basiccalculator,Calculator,TOOLS,"CITIZEN CALCULATOR by ANGEL NX is best Mobile App all over the world and More Than 10 Million Users.  We are Angel NX. We make CITIZEN CALCULATOR gives you functions that you can see in CITIZEN CALCULATOR and GST CALCULATOR with New GST Tax Rate Calculations by Just One Click.    CITIZEN CALCULATOR App Key Features :-  * CITIZEN CALCULATOR * GST CALCULATOR OR TAX CALCULATOR * LOAN CALCULATOR * UNIT CONVERTER * CURRENCY CALCULATOR * COMPASS * AGE CALCULATOR   CITIZEN CALCULATOR   CITIZEN CALCULATOR is one of the best Calc with many features same as CITIZEN CALCULATOR for your regular use. Calculate like Citizen Calculator and many other calculators.  You can use Citizen Calculator as a Business and financial Calcs also has features with GT, GT, M+, M-, MR, MU (Mark Up) which are used to get profit ratio when you want to give discounts on your products. gives your some options of scientific calculator.  GST CALCULATOR OR TAX CALCULATOR  GST CALCULATOR gives all functionality of GST and TAX Calculation for All country with just one Single Click. Get results calculated as you type.  We Give Two Button ADD GST and SUBSTRACT GST.    * ADD GST or TAX  :-  Calculate any Number of GST or TAX like +3%, +5%, +12%, +18%,  +28%,+1, +2 , +15, +0.1, + 40.8, Etc.  * SUBSTRACT GST or TAX :- Calculate any Number of GST or TAX like -3%, -5%, -12%, -18%, -28%, -6, -1, -0.9, -17.6, - 33.3, Etc.  LOAN CALCULATOR  Citizen Calculator also has feature of Loan Calculator by which you can calculate Loan EMI, Loan amount, Loan interest rate, Loan period, Loan Installment Amount and  Calculate EMI on monthly and Yearly basis..   WHERE TO USE:  * Personal Loans * Home Loan * Mortgage Loan * Business Loan * CC or Overdraft Loan * Auto Loan * Business Overdraft  UNIT CONVERTER   Citizen Calc is also with feature of Unit Converter.   Unit Converter Features with Many Units :-  1.	Area  :- Square Kilometer, Hectare, Square Meter, square Mile, Acre, Square yard, Square Foot, Square Inch. 2.	Length :- Kilometer, Meter, Centimeter, Millimeter, mile, Yard, Foot, inch, Nautical Mile. 3.	Temperature :- Celsius, Fahrenheit, Kelvin. 4.	Volume :- Cubic meter, Liter, Milliliter, Cubic Foot, Cubic Inch, Imperial gal, Imperial pint, US gal, Quart, Pint, Cup, Oz, US tbsp, tsp. 5.	Mass/weight :- Metric Ton, Kilograms, Gram, Milligram, Mcg, Long Ton, Short Ton, Stone, Pounds, Ounce, Tons. 6.	Speed :- Miles/hour,  Feet/Sec, Meters/Sec, Km/hour , Knot. 7.	Fuel Consumption :- MPG (US), MPG (imp.), km/liter , liter/100km, etc. 8.	Digital Storage :- Bit, Byte, Kilobit, Kilobyte, Megabyte, Gigabit, Gigabyte, Terabit, Terabyte, Petabit, Petabyte. 9.	Time :- Nanosecond, Microsecond, Millisecond, Second, Minute, Hour, Day, Week, Month, Year,   Month, Year, Decade, Century.  CURRENCY CONVERTER  Currency Converter is best for live exchange rate. We put + Sign, Select more than one country so you can show more than one country’s exchange rate at a time.   All Country Currency included European Countries, Asian Countries, American Countries , African Countries, Middle East,  like USA, Canada, India, Australia, Uk , China, Japan , Pakistan, France , Germany, Spain, Indonesia, Tanzania, Mali, Bangladesh, Nepal, South Africa, Brazil, Malaysia, Saudi Arabia, UAE, and many more.  DIGITAL COMPASS  Digital compass is with Longitude and Latitude and its Simple to use. Use it like a real compass. Professional design with incredibly smooth movements with True North.  AGE CALCULATOR  Age Calculator is one more best Feature of Citizen Calculator App Where you can calculate your Age in Year, Month, Weeks, days, Hours, Minutes and Second. Also you can show your Next Birthday by Days for many years.  SETTING  By Help of setting Button you can set your requirement Like Sound and Vibration. You can ON/OFF Sound and also ON/OFF Vibration.  Any suggestion from user is welcomed. If you like our Mobile APP Please give your best rating to Citizen Calculator and share it with your friends and Groups. Thanks."
A49864DCC90F6730569455BDFA39B4B7CF70AE0C34D656D078790CBA3521C0A0,com.ba.fractioncalculator,Calculator,EDUCATION,"<b>Free offline fraction calculator</b> ✌, supporting also decimals, percentages, parentheses and powers. <b>Shows a detailed solution for all calculations</b>. 😊  At school  🏫 or home 🏠 need to solve simple or complex math fraction problems, convert fractions into decimals, or decimals into fractions? - this fraction calculator will do it ✅ and will show how it was done 😺  Perfect for students, parents, teachers, and woodworkers to solve or verify fraction everyday problems.  <b>Features of this fraction calculator free app</b> ➕ ➖ ❌ ➗  🍉 Supports combining decimal and fractional numbers. Automatically reduces fraction results to its simplest form.  🍇 Converts <b>fractions into decimals</b> and <b>decimals into fractions</b>. Calculated result is displayed using fractions. Equivalent value in decimals is also available.  🍌 Shows a detailed solution, step by step for all fraction problems and calculations.  🍎 A history of previous calculations is available.  🍒 Besides basic math operations such as add, subtract, multiply and divide; fraction calculator allows calculating percentages for fractions.  🍅 Triple keypad available  🍍 Works with big numbers. No limits 😋  🍑 Compare fractions.  We have made this fraction calculator app available in multiple colors 🌈 for you!  © UUCMobile, 2020"
85C80B7ED3799C04CBD107DD3004F91ED4DC2BF8D75C3589176EEC1D61F3D02E,de.sfr.calctape,Calculator,FINANCE,"What happens if you combine a standard calculator App, a classic desktop calculator and a note App ?  CalcTape brings you the best of these and even more. It is your companion for all daily calculation needs and easily masters all scenarios you can imagine. CalcTape is NOT a scientific calculator, but do we need these in daily use ?  Ever did a long calculation with many figures and asked yourself: ""Did I enter the last figure correctly ?"" ""The result looks strange somehow !"" With CalcTape you keep an overview, can check all figures and correct figures instantly inplace with all subsequent results being adjusted automatically ! Missed a figure ? No problem: Just insert it in the right place easily by entering a new line.  You can place the cursor everywhere you like in the calculation: It's like a note where you can change anything you like in any place with the advantage, that changing numbers or operators updates your calculation immediately!  CalcTape can be considered a ""spreadsheet with a calculator interface"".  You can also keep the calculation for your records (documents) and create templates:  Replacing the figures in your template and getting the correct results is a breeze. Commenting figures and results gives sense to your calculations, so you can understand what you did when viewing the calculation a month later. Customize CalcTape to your needs and place only those buttons on your keypad that you really need everyday. Create your own functions to e.g. add a specific percent rate with a tap on a single button.  CalcTape comes as a basic free version and offers a Pro update. The Pro version brings: - Save your calculations into files - Create own functions or text snippets to be entered when pressing a button (long press a button to enter the Button screen) - Create own keypad layouts (change assignment of all buttons except numbers and backspace / change button sizes) - Select between different keypad layouts (the ""function keypad"" contains no numbers and is nearly completely customizable)    to get more buttons or other functions, 2 keypads are directly accessible in the main screen - Share your calculations using standard Android sharing capabilities, e.g. email - NEW: Print your calculations - NEW: Export as HTML (via clipboard or e-mail)  =================== If you find any problem feel free to contact us. You can help us improving CalcTape Calculator by stating your Android version and smartphone model.  Follow us on Twitter: https://twitter.com/calctape"
66442DEF269FF22FB4177759343D973DA1A6A3AFE2ECE3C7DE8C89ECDB10D93E,com.digitalchemy.calculator.freefraction,Calculator,TOOLS,"Fraction Calculator Plus is your best way to deal with everyday fraction problems or even more complex woodworking calculations for free. It is invaluable when: - Helping kids do the math homework - Adjusting the recipe ingredients to the number of servings you need  - Doing the calculations for your craft or even construction project and more.  Fraction calculator is easy and fun to use both on phones and tablets as: - Calculations appear in crisp type that you can read at a glance and from a distance - Innovative triple keypad display lets you type extra fast and enter mixed numbers like 3 3/4 with only 3 taps - Every fraction result is automatically reduced to its simplest form providing prompt and clear answers - Every result is also converted to a decimal number to have both values at hand - Step-by-step explanations help get a deeper understanding of the calculation process - The integrated decimal calculator allows solving problems containing either fractions or decimals or both  - Calculator memory (M+, M- etc.) would be useful if you need to do a bunch of individual calculations and add or subtract their results.  It couldn't be easier to add, subtract, multiply, and divide fractions! Let Fraction Calculator Plus turn your phone or tablet into an indispensable assistant.  This free version is ad-supported, but you can also try our ad-free version and PRO version for woodworkers. The latter boasts advanced features that anyone working with measure tape will appreciate.   Fraction calculator PRO version for woodworkers  With a PRO version, both the professional and DIY carpenters and woodworkers will be able to:  - round to the specified denominator (2nds, 4ths, 8ths, 16ths, 32nds, or 64ths of an inch)  - select to round up, down, or to the nearest number to avoid rounding errors  - get the decimal equivalent of the fraction result calculated automatically Double-checking your wood plank measurements for accuracy whether in a workshop or at a construction site is a matter of few taps. Save time, effort,  and material precisely calculating fractional inches for any project.   Fraction Calculator Plus (C) 2021 Digitalchemy, LLC"
E62452B248DDDC34646D98BEC604C236B865115DA1CD4B1958B7B2C1791D9D74,com.digitalchemy.calculator.freedecimal,Calculator,TOOLS,"<strong>Calculator Plus - a perfect calculator for Android. Easy to use and beautifully designed calculator with big buttons provides you with essential functionality. </strong>  A free simple calculator for your everyday purposes. Whether you need to calculate tips, discounts, or ratios quickly and easily, Calculator Plus is the best free calculator app for you. With its smart and user-friendly interface, it's the best tool for everyday use.  <strong>Key features:</strong>  BASIC FUNCTIONS - add, subtract, divide and multiply for everyday calculations.  BIG BUTTONS - never miss a button.  HISTORY - view the history of calculations and check for mistakes.   MEMORY - store results of calculations and access them anytime.  PERCENTAGE - calculate tips, discounts and ratios quickly and easily with the percentage calculator.  THEMES - change the design with the visual theme you like.  BIG DISPLAY - see all features at the first glance.  MULTI-WINDOW - work twice as fast with multiple copies of the app on one device.  <strong>Use free version:</strong> - As a simple basic calculator to calculate your daily expenses and bills. - To calculate tips and discounts quickly with the tip calculator. - To check calculations for mistakes and verify the results. - When shopping to calculate the total sum easily. - To maximize productivity with memory buttons and save your time.  <strong>Additional Pro features:</strong>  GRAND TOTAL - Sum up all calculations with the Grand Total feature. Get final amount in one click with the advanced calculator.  TAX CALCULATION - Calculate taxes and tips easily. Use the TAX feature to calculate prices with and without taxes.  USE NOTES   Add NOTATIONS to the history section to indicate and find calculations easier.  <strong>Calculator Plus is the best calculator app for Android that comes with a user-friendly interface and practical functions for quick calculation. </strong>  Whether you need a basic calculator, calculator with history, calculator widget, or an advanced calculator with history, Calculator Plus has got you covered. Get your hands on the best free calculator app with no ads and start calculating!"
D35EDCE75773CB40CAC2BBD6AC294DE8103F3B7CA11DD6B971637E0837FC8F61,com.candl.athena,Calculator,TOOLS,"Express your style with the free calculator made just for you.  Choose a colorful, stylish theme to brighten your day while you calculate with ease for free.  CALCU™ is a breeze to use for everyday calculations, with all the scientific capability you need for work and school just a swipe away.  And for your most demanding needs, CALCU™ allows you to add or remove the functions and constants you need to make the perfect calculator designed by you, for you.  The Droid Lawyer rates CALCU™ 4.5 out of 5, calling it “a great replacement for Android’s stock calculator”... and we couldn’t agree more!  CALCU™ offers all the regular and scientific calculator functions in a simple, stylish and easy-to-use app.  Download the perfect calculator for free today!  <b>Features</b> ★ Try our new Material theme! ★ Beautiful and intuitive interface with gesture based control and navigation ★ See instant results of your calculations as you enter them ★ Swipe up on the keypad to reveal scientific keypad ★ Swipe down on the display to see calculation history ★ Support for Samsung Multi Window ★ Show memory keys option ★ Swipe up on the scientific keypad to customize it ★ Create user-defined constants ★ Choose between simple and full keypad layout ★ Choose from a range of stylish themes"
0708505CD2893C15589BD3BCBEEA22F414B0EF23B7BC1198E17BCBA2404436ED,com.dencreak.dlcalculator,Calculator,PRODUCTIVITY,"This calculator allows you to easily handle all the calculations necessary for everyday life with a single application. A free calculator app with a clean interface and practical functions!  List of calculators currently supported:  <b>1. Calculator ( + Scientific Calculator )</b> • Supports the four fundamental arithmetic operations, square, root, parentheses and percentage operations. • Supports scientific operations such as trigonometric, exponential and logarithmic functions. • Possible to modify incorrectly entered expressions with a freely movable cursor. • Simple and easy. • History available.  <b>2. Unit Converter</b> • Supports length, weight, width, volume, time, temperature, pressure, speed, fuel efficiency, and the amount of data. • Supports all unit conversions commonly used in everyday life.  <b>3. Currency Converter</b> • Supports 135 currencies in the world, including dollar, euro, yen, yuan, etc. • Automatically calculates using the real time exchange rate.  <b>4. Percentage Calculator</b> • You can easily calculate the percentage increase or decrease. • You can also calculate what percentage one number is of another.  <b>5. Discount Calculator</b> • Get a discount price by entering the original price and the discount rate.  <b>6. Loan Calculator</b> • You can calculate the total interest and total payments by entering the loan principal and interest rate.  <b>7. Date Calculator</b> • A feature that calculates the specific date or anniversary to be remembered!  <b>8. Health Calculator</b> • You can measure the body mass index (BMI) and the basal metabolic rate (BMR).  <b>9. Automobile Fuel Cost Calculator</b> • You can calculate the fuel costs required for driving a car or traveling. • Enter a distance and a fuel efficiency to get a fuel cost.  <b>10. Fuel Efficiency Calculator</b> • Enter the amount of fuel used to get the fuel efficiency.  <b>11. GPA Calculator</b> • You can correctly calculate your GPA!  <b>12. Tip Calculator</b> • The tip amount to be added will be automatically calculated if you enter the billing amount and tip percentage. • There is a function not to calculate tips on tax. • You may calculate the amount per person by dividing final amount by the number of people.  <b>13. Sales Tax Calculator</b> • Get a total price by entering the original price and the tax rate.  <b>14. Unit Price Calculator</b> • Enter the price and the quantity and you will get the unit price. • You can compare unit prices of various goods.  <b>15. World Time Converter</b> • Transforms the time of 400 or more cities around the world. • Daylight savings time will also be reflected in this calculation.  <b>16. Ovulation Calculator</b> • Calculates the time of ovulation and fertility using the menstrual cycle! • You can also create notes by date.  <b>17. Hexadecimal Converter</b> • Converts between decimal and hexadecimal with ease and convenience.  <b>18. Savings Calculator</b> • If you enter deposit amount, interest rate and time period, the interest after tax and final savings balance will be calculated.   [ Disclaimer ] Cleveni Inc. makes no warranty as to the accuracy or reliability or suitability of any calculation results or information provided through the ClevCalc app. Cleveni Inc. is not also responsible for any damages, direct or indirect, which may occur by the calculation results or information provided through the ClevCalc app."
5482249D7EF2DCA96CDC791433F86EE0C962A1F71712C4A2A060DAACB853DD78,calculator.innovit.com.calculatrice,Calculator,TOOLS,"Calculator is the essential tool for your smartphone, simple and easy to use with a sleek design - the perfect calculator for Android.  Characteristics : - A clear display format and easy to read. - An intuitive and attractive design that facilitates calculations every day. - You can use the backspace key to correct a simple mistake. - You can change theme easily.  If you find a bug or have suggestions for improvement, please contact us: innovit.apps@gmail.com  This version of Calculator is ad-supported."
F1D6B18311B1C80936935BC6199A338E599AF4509E0DAB7688D4745FDC93469E,apps.r.calculator,Calculator,TOOLS,"Calculator allows you to perform simple and complex math tasks in a beautifully designed application. It includes history, real time graphing, base conversion, memory and more.  • Choose the best color for you from several options: amber, orange, deep orange, red, pink, purple, deep purple, indigo, blue, light blue, cyan, teal, green, light green and lime • Perform simple calculations such as addition, subtraction, multiplication, and division • Do scientific operations such as trigonometric, logarithmic and exponential functions • Define your own function • Convert between binary, octal, decimal and hexadecimal numeral systems  • Handling complex numbers such as √−2 • Real time graphing • Save and modify values in the calculator memory • See the list of your past 100 expressions and results with their dates • Perform basic operation on the go with Android Wear  Tips:  • To use advanced operators and functions, swipe to the left the colored bar on the right side or hold your device sideways • To call the graph panel, enter your expression with X • To see your history, swipe down from the display • To see the date of a past calculation, long click on the one you want • To remove a past calculation from the list, swipe it right or left • Go into the settings and choose the ""Help"" option for further instructions  The source code was forked from the AOSP platform package."
